customer_id,segment,recency_days,frequency_180d,monetary_180d,ticket_count_90d,return_rate_180d,campaign_clicks_30d,sessions_30d,churn_next_60d
CUST00001,Hibernating,107,1,362.73,0,0.0,0,1,1
CUST00002,Potential Loyalists,40,1,581.0,1,0.0,0,8,0
CUST00003,Hibernating,171,1,649.98,0,0.0,0,1,1
CUST00004,Hibernating,131,1,1604.04,0,0.0,0,1,1
CUST00005,Loyal Customers,38,3,1781.9,0,0.0,1,18,0
CUST00006,Loyal Customers,51,4,2989.58,2,0.25,0,2,0
CUST00007,Potential Loyalists,3,1,719.33,0,0.0,3,11,0
CUST00008,Loyal Customers,47,3,2449.11,0,0.0,0,2,0
CUST00009,Potential Loyalists,31,1,376.85,0,0.0,0,11,0
CUST00010,Potential Loyalists,9,1,636.8,0,0.0,0,13,0
CUST00011,Potential Loyalists,1,1,508.08,0,0.0,0,10,0
CUST00012,Potential Loyalists,50,1,978.88,0,0.0,0,3,1
CUST00013,Loyal Customers,61,3,1754.44,0,0.0,0,4,0
CUST00014,Potential Loyalists,51,2,1382.39,0,0.0,0,11,0
CUST00015,Potential Loyalists,35,2,1523.14,0,0.0,0,6,0
CUST00016,Hibernating,215,0,0.0,0,0.0,1,2,1
CUST00017,Hibernating,286,0,0.0,0,0.0,4,4,1
CUST00018,Hibernating,111,1,329.21,0,0.0,2,3,1
CUST00019,Potential Loyalists,9,2,1598.93,0,0.0,1,5,0
CUST00020,Hibernating,368,0,0.0,0,0.0,0,0,1
CUST00021,Hibernating,77,2,1059.3,1,0.0,0,3,1
CUST00022,Potential Loyalists,29,1,454.06,0,0.0,1,10,0
CUST00023,Potential Loyalists,21,1,400.98,0,0.0,1,3,0
CUST00024,Potential Loyalists,4,1,481.35,0,0.0,0,13,0
CUST00025,Hibernating,165,1,517.97,0,0.0,1,11,1
CUST00026,At Risk,72,3,3561.39,1,0.333,0,14,0
CUST00027,Hibernating,70,1,2128.34,1,1.0,2,11,0
CUST00028,Hibernating,83,1,641.83,0,0.0,0,1,0
CUST00029,Champions,18,3,1382.04,0,0.0,0,1,0
CUST00030,Champions,5,5,2819.98,2,0.0,0,11,0
CUST00031,Potential Loyalists,49,1,672.95,0,0.0,0,6,1
CUST00032,Potential Loyalists,33,1,694.18,0,0.0,0,12,0
CUST00033,Champions,12,3,1877.69,1,0.333,0,7,0
CUST00034,Potential Loyalists,50,2,1460.21,1,0.0,2,7,0
CUST00035,Hibernating,127,1,779.74,0,0.0,0,6,1
CUST00036,Loyal Customers,27,4,1737.33,1,0.25,0,0,1
CUST00037,Hibernating,102,1,435.83,0,0.0,0,5,0
CUST00038,Loyal Customers,51,3,1955.61,1,0.0,0,5,0
CUST00039,Potential Loyalists,15,2,1173.55,0,0.0,1,6,0
CUST00040,Hibernating,154,1,634.73,0,0.0,0,1,1
CUST00041,Potential Loyalists,54,1,366.99,0,0.0,2,5,1
CUST00042,At Risk,87,5,4306.0,2,0.0,2,3,0
CUST00043,Potential Loyalists,24,1,363.01,0,0.0,0,3,0
CUST00044,Hibernating,72,1,899.51,0,0.0,2,6,0
CUST00045,Hibernating,96,1,413.75,0,0.0,1,6,1
CUST00046,Hibernating,127,1,489.87,0,0.0,0,7,1
CUST00047,Hibernating,204,0,0.0,0,0.0,1,2,1
CUST00048,Loyal Customers,61,4,2450.45,0,0.25,0,12,0
CUST00049,Potential Loyalists,8,1,380.83,0,0.0,1,4,0
CUST00050,Potential Loyalists,0,2,2026.54,0,0.5,1,3,0
CUST00051,Hibernating,210,0,0.0,0,0.0,2,6,1
